Column,Min Value,Max Value
Marital_status,1,6
Application_mode,1,57
Application_order,0,9
Course,33,9991
Daytime_evening_attendance,0,1
Previous_qualification,1,43
Previous_qualification_grade,95.0,190.0
Nacionality,1,109
Mothers_qualification,1,44
Fathers_qualification,1,44
Mothers_occupation,0,194
Fathers_occupation,0,195
Admission_grade,95.0,190.0
Displaced,0,1
Educational_special_needs,0,1
Debtor,0,1
Tuition_fees_up_to_date,0,1
Gender,0,1
Scholarship_holder,0,1
Age_at_enrollment,17,70
International,0,1
Curricular_units_1st_sem_credited,0,20
Curricular_units_1st_sem_enrolled,0,26
Curricular_units_1st_sem_evaluations,0,45
Curricular_units_1st_sem_approved,0,26
Curricular_units_1st_sem_grade,0.0,18.875
Curricular_units_1st_sem_without_evaluations,0,12
Curricular_units_2nd_sem_credited,0,19
Curricular_units_2nd_sem_enrolled,0,23
Curricular_units_2nd_sem_evaluations,0,33
Curricular_units_2nd_sem_approved,0,20
Curricular_units_2nd_sem_grade,0.0,18.571428571428573
Curricular_units_2nd_sem_without_evaluations,0,12
Unemployment_rate,7.6,16.2
Inflation_rate,-0.8,3.7
GDP,-4.06,3.51
